,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_johnnydepp,hash_relatable,hash_stitch,hash_viral
3,US,7097238711968091434,1652454659,The ending face screams HANGRY. IB: @Olliebear the Golden Retriever 🐾 #fyp #foryoupage #dogsoftiktok,6954843890915165190,BeauNoseBones,"IG and YouTube ⬆️

There’s a new Beau in town.🐾

LOVE GOLDENS!? ⬇️",0,False,https://www.tiktok.com/@beaunosebones/video/7097238711968091434?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097238711968091434&source=h5_m,16478000,7694,76122,21841,1431737,7094308170943908654,7094308170943908654,72,7094308170943908654,Ima need a cinnamon roll,Judith Rupp💎,6.816374905702385e+18,Judith Rupp💎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7094308238627244846.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a01903d71809694e2a5d41033275402d.json,False,False,,,,,[],0,0,Canada,#fyp #foryoupage #dogsoftiktok,0,1,0,0,1,0,0,0,0,0
4,CA,7072508350608526597,1646696673,@M@ must be cheating 😂❤️,189034467544563712,laurenspencersmith,STREAM “ FLOWERS” NOW HERE!!! ⬇️⬇️❤️❤️🌸🌼,0,False,https://www.tiktok.com/@laurenspencersmith/video/7072508350608526597?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072508350608526597&source=h5_m,797002,140,42,46,79972,7004107610240649986,7004107610240649986,24,7004107610240649986,original sound - hsubuibui (Contains music from: It's The Hard-Knock Life - Quvenzhané Wallis & Zoe Margaret Colletti & Nicolette Pierini & Eden Duncan-Smith & Amanda Troya),"Contains music from: ""It's The Hard-Knock Life""",6.592005832937161e+18,Hsubuibui,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7004107569774021378.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/88589fdef739efd8d45b512302d7e194.json,False,False,Quvenzhané Wallis & Zoe Margaret Colletti & Nicolette Pierini & Eden Duncan-Smith & Amanda Troya,It's The Hard-Knock Life,original sound - hsubuibui (Contains music from: It's The Hard-Knock Life - Quvenzhané Wallis & Zoe Margaret Colletti & Nicolette Pierini & Eden Duncan-Smith & Amanda Troya),"Contains music from: ""It's The Hard-Knock Life""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
5,CO,7086512828730903814,1649957344, ,7079823129127863302,Jackie Love,58😜,0,False,https://www.tiktok.com/@jackie_love1.1/video/7086512828730903814?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086512828730903814&source=h5_m,4228701,258,1157,4124,309086,6918162278554667782,6918162278554667782,72,6918162278554667782,original sound - mr_kobeedm,Kobe Francis,6.836780900744578e+18,Kobe Francis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6918162303762434822.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8f7cc29ad7ec60fb6e6c44331ccaebce.json,False,False,,,,,[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
6,AU,7096355463054281985,1652249012,"Reply to @ameliamgoldie  From backflipping on the Sydney Opera House, to the UK... @Red Bull UK somebody stop this man. #parkour #freerunning #jump #flip #fitness",6768365668602905606,Red Bull Australia,#givesyouwiiings,0,False,https://www.tiktok.com/@redbullau/video/7096355463054281985?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096355463054281985&source=h5_m,10048400,6064,10840,4860,489552,7096355447909288706,7096355447909288706,72,7096355447909288706,original sound - redbullau,Red Bull Australia,6.768365668602906e+18,Red Bull Australia,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096355444058311425.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee697bfe4f9eca3d887ccec30de8017f.json,False,False,,,,,[],0,0,Canada,#parkour #freerunning #jump #flip #fitness,0,0,0,0,0,0,0,0,0,0
7,US,7100941304451943726,1653316736, ,6649974064393977861,sofia gomez 🏳️‍🌈,teamsofia@collab.inc,0,False,https://www.tiktok.com/@sofiiiiagomez/video/7100941304451943726?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100941304451943726&source=h5_m,2116665,1237,807,3131,272322,7092905335941352193,7092905335941352193,72,7092905335941352193,original sound - c0ray2 (Contains music from: FASHION - LIL GLOCK 420),"Contains music from: ""FASHION""",7.059412261508744e+18,Hello,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092905289980463873.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3fe5b30e264c8754da8e107d732cd439.json,False,False,LIL GLOCK 420,FASHION,original sound - c0ray2 (Contains music from: FASHION - LIL GLOCK 420),"Contains music from: ""FASHION""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
0,CA,7084997406789618949,1649604507,My daily struggle 😂#fyp #security #mall #fypシ #paulblartmallcop #mallcop,19797944,ashley_mcg1,"Ig:_ashley_mcguinness_
Snap: ashley_mcg1",0,False,https://m.tiktok.com/v/7084997406789618949.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084997406789618949&source=h5_m,1187048,495,1031,807,103443,7039462317582486278,7039462317582486278,72,7039462317582486278,I got little legs (Contains music from: The Legend of Zeld - Legacy Hits),"Contains music from: ""The Legend of Zeld""",6.532037299704693e+18,GSPofThree,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7039505267763251974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a11f5cecdade7b740c2a2eaa95a755af.json,False,False,Legacy Hits,The Legend of Zeld,I got little legs (Contains music from: The Legend of Zeld - Legacy Hits),"Contains music from: ""The Legend of Zeld""",[],0,0,Canada,#fyp #security #mall #fypシ #paulblartmallcop #mallcop,0,0,0,0,1,1,0,0,0,0
1,US,7101761842426531118,1653507782, ,6762131095061545989,Sierra Skye,Check IG bio 🤎,0,False,https://m.tiktok.com/v/7101761842426531118.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101761842426531118&source=h5_m,4796598,2480,7322,2405,481990,6861833807453096709,6861833807453096709,72,6861833807453096709,STOP MAKING THIRST TRAPS WITH MY AUDIO. (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",6.622729350369313e+18,Hi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6861833776096430854.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6aef94fbb4d508bdf859ece5f7e69936.json,False,False,Beyoncé,Rocket,STOP MAKING THIRST TRAPS WITH MY AUDIO. (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
2,DE,7099169174798355717,1652904130,#meme #foryou #funnyvideos,7012570170225869829,Meme Fanpage,"👑 Memes👾
Dawgmeme@icloud.com
Mail for Credit's/Removal
Checkout my Meme Comp",0,False,https://m.tiktok.com/v/7099169174798355717.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099169174798355717&source=h5_m,8195316,4741,15429,40,1159384,7099169161498168069,7099169161498168069,72,7099169161498168069,original sound - dawgmemes,Meme Fanpage,7.01257017022587e+18,Meme Fanpage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099169165726092038.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/36075088ea774f4bce1724c77e088172.json,False,False,,,,,[],0,0,Canada,#meme #foryou #funnyvideos,1,0,0,0,0,0,0,0,0,0
3,IT,7100572678347656453,1653230909,The perfect mix 🔥 #katieholmes #tomcruise #suricruise #greenscreen #topgunmaverick #dawsonscreek #missionimpossible #joeypotter,6526601945786881039,Cinema e Serie Tv,"i hate bios 🙊
🎤🎙🎭",0,False,https://m.tiktok.com/v/7100572678347656453.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100572678347656453&source=h5_m,2090518,513,432,1,255642,6998505263904951045,6998505263904951045,72,6998505263904951045,original sound - netflix.seriee (Contains music from: Rich Girl - Gwen Stefani),"Contains music from: ""Rich Girl""",1.2563087063968154e+17,NETFLIX,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6998541382327536389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/91235db5fcbdb571d35e5b5a3e39562c.json,False,False,Gwen Stefani,Rich Girl,original sound - netflix.seriee (Contains music from: Rich Girl - Gwen Stefani),"Contains music from: ""Rich Girl""",[],0,0,Canada,#katieholmes #tomcruise #suricruise #greenscreen #topgunmaverick #dawsonscreek #missionimpossible #joeypotter,0,0,0,0,0,0,0,0,0,0
4,US,7080359692370808110,1648524705,Just like @arianagrande said.. one day I'll walk down the aisle holding hands with my mama 💕 #mamasgirlforever  #fyp,6759369899829003269,haley h,"“she’s a ✨feminist✨ AND a teacher”

💟🟣🦄💜☯️",0,False,https://m.tiktok.com/v/7080359692370808110.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080359692370808110&source=h5_m,11837453,7709,29639,126,1378244,7057331013529357103,7057331013529357103,72,7057331013529357103,original sound - vibewdavid,David Davila,6.875304286726686e+18,David Davila,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7057331032403561263.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8ecf3eaecc063876b7e8dc190b33cffc.json,False,False,,,,,[],0,0,Canada,#mamasgirlforever #fyp,0,0,0,0,1,0,0,0,0,0
5,US,7096196340153191723,1652211962,"Guess I have to count to 100,000 again lol",6614519312189947909,MrBeast,Hacked at 100m followers,0,False,https://m.tiktok.com/v/7096196340153191723.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096196340153191723&source=h5_m,6912233,15814,978,2213,1050035,7058433116104428335,7058433116104428335,72,7058433116104428335,all the things she said slowed (Contains music from: All The Things She Said - t.A.T.u.),"Contains music from: ""All The Things She Said""",6.733368876640683e+18,xxtristanxo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7058433130088221487.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/613b01518945eb94fe709cc905529afa.json,False,False,t.A.T.u.,All The Things She Said,all the things she said slowed (Contains music from: All The Things She Said - t.A.T.u.),"Contains music from: ""All The Things She Said""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
6,US,7102934095961001259,1653780718,Filming in the gym does NOT give you priority over others. #MYOB #gymtok,6783940901930173445,Joey Swoll,"CEO of GYM POSITIVITY
IG: @joeyswoll
Business/coaching 📬 joey@joeyswoll.com",0,False,https://m.tiktok.com/v/7102934095961001259.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102934095961001259&source=h5_m,2434555,4964,672,432,413506,7102934079292689194,7102934079292689194,72,7102934079292689194,original sound - thejoeyswoll,Joey Swoll,6.783940901930173e+18,Joey Swoll,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102934099605752622.mp3,,False,False,,,,,[],0,0,Canada,#MYOB #gymtok,0,0,0,0,0,0,0,0,0,0
7,US,7103191390582033710,1653846890,#ad @Kamo Fitness Shadows Collection launch 2022 May 31st 1pm CST #ad #kamofitness kamofitness.com/Alisha,6765179950201062405,Alisha Kathrine,"Hope you find what you’re looking for 😘
⬇️LINKS⬇️

kamofitness.com/Alisha",0,False,https://m.tiktok.com/v/7103191390582033710.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103191390582033710&source=h5_m,1160,5,1,0,124,7028678085570906882,7028678085570906882,72,7028678085570906882,original sound - boogienba,Basketball,6.905275358405936e+18,Basketball,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7028678054885083905.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/61e1c5f32ae074810360cae7f0ece4fb.json,False,False,,,,,[],0,0,Canada,#ad #ad #kamofitness,0,0,0,0,0,0,0,0,0,0
0,CA,7100729670596873477,1653267463, ,6636387148403376134,Ashley Matheson🎰,"BLM
snapchat - ashley-matheson 
queer
business - ash@palettemgmt.com
777",0,False,https://www.tiktok.com/@smashedely/video/7100729670596873477?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100729670596873477&source=h5_m,3244607,648,498,1945,663709,7085878113229343493,7085878113229343493,72,7085878113229343493,original sound - cliptok777,ClipTok777,6.984133299539297e+18,ClipTok777,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085878121224391430.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2933d78a2d0ee9d4cb309416ba211061.json,False,False,,,,,[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
1,CA,7102303566752271621,1653633919,breast friends #fyp #nobobz,6741065285540168710,Adea,im too old to be on here but it is what it is,0,False,https://www.tiktok.com/@adeaonthetok/video/7102303566752271621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102303566752271621&source=h5_m,111804,53,115,247,4380,6701834555633978118,6701834555633978118,72,6701834555633978118,original sound - orionsbelt19,Bug,6.527433120680023e+18,Bug,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1636191117940790.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b240e1dd2e5bb37311e89e31967e639.json,False,False,,,,,[],0,0,Canada,#fyp #nobobz,0,0,0,0,1,0,0,0,0,0
2,ZA,7092339033623366918,1651313869,#xyzbca #trynottolaughtiktoktv🤣,7053198589502571522,Hi plz follow,Hi how are you doing,0,False,https://www.tiktok.com/@tiktok_juicy1/video/7092339033623366918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092339033623366918&source=h5_m,5934329,1585,2438,8081,894223,7092338994163370757,7092338994163370757,72,7092338994163370757,original sound - tiktok_juicy1,Hi plz follow,7.053198589502572e+18,Hi plz follow,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092339040078285573.mp3,,False,False,,,,,[],0,0,Canada,#xyzbca #trynottolaughtiktoktv🤣,0,0,0,0,0,0,0,0,0,0
3,US,7091064979645795627,1651017224,who’s man,6584469209609846790,corny,let’s be friends💘💘,0,False,https://www.tiktok.com/@c0urtneybrown/video/7091064979645795627?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091064979645795627&source=h5_m,12912549,12607,30508,27,1877597,6983409717531904773,6983409717531904773,72,6983409717531904773,original sound - cconrad_19 (Contains music from: Noises - Lefaa),"Contains music from: ""Noises""",6.557898522133086e+18,Christian conrad,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6983409818300107526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/66e6a191c32313a387a5aabb53b70717.json,False,False,Lefaa,Noises,original sound - cconrad_19 (Contains music from: Noises - Lefaa),"Contains music from: ""Noises""",[],0,0,Canada,,0,0,0,0,0,0,0,0,0,0
