,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_ireland,hash_irish,hash_johnnydepp,hash_stitch,hash_viral
2,VN,7102350314371632386,1653653100,"Amber's Lawyer Messes Up with The ""Wrong Guy"" #johnnydepp #amberheard #johnnydepptrial #viral #justiceforjohnnydepp #johnnydeppisinnocent",7041192927456674818,Lessons in 30s,Justice for Johnny Depp,0,False,https://m.tiktok.com/v/7102350314371632386.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102350314371632386&source=h5_m,32615417,43130,143630,209745,5010908,7102385976374201090,7102385976374201090,24,7102385976374201090,original sound - lessonsin30s (Contains music from: Enemy (Arcane League of Legends) - Epic Version - Krutikov Music),"Contains music from: ""Enemy (Arcane League of Legends) - Epic Version""",7.041192927456675e+18,Lessons in 30s,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102385955050457858.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/981cf048a4c648a574508a15bdf6fcf6.json,False,False,Krutikov Music,Enemy (Arcane League of Legends) - Epic Version,original sound - lessonsin30s (Contains music from: Enemy (Arcane League of Legends) - Epic Version - Krutikov Music),"Contains music from: ""Enemy (Arcane League of Legends) - Epic Version""",[],0,0,Ireland,#johnnydepp #amberheard #johnnydepptrial #viral #justiceforjohnnydepp #johnnydeppisinnocent,0,0,0,0,0,0,0,1,0,1
3,CA,7101480887149202693,1653442369,"Reply to @landofthecranes I’m so upset that I didn’t yell from my balcony, and I was in such shock I didn’t even get his name. He asked me to post it on all my social media, I reached out to @CityNews Vancouver and @CTVNews but neither would take the story. Everyone needs to be recording the cops no matter how traumatizing it is and how disrespectful they are #policebrutality #Vancouver #homelesslivesmatter",6931159448874533893,Jessica Wetzstein,"JesWetz@Gmail.com 🇨🇦 Vancouver 
⚠️⚠️ not my main page⚠️⚠️> @JessicaIsWet",0,False,https://m.tiktok.com/v/7101480887149202693.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101480887149202693&source=h5_m,12856504,5741,2264,1831,1259055,7101480872583006981,7101480872583006981,72,7101480872583006981,original sound - jesswetzstein,Jessica Wetzstein,6.931159448874534e+18,Jessica Wetzstein,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101480858976111366.mp3,,False,False,,,,,[],0,0,Ireland,#policebrutality #Vancouver #homelesslivesmatter,0,0,0,0,0,0,0,0,0,0
4,CA,7098563807164812549,1652763184,Unsolicited comments on peoples bodies aren’t the vibe y’all #weightloss #lipedema #women,6744817504063390726,insta:@princessspear,"lost 200lbs nbd ✨🍐
BC livin 🌄🌈",0,False,https://m.tiktok.com/v/7098563807164812549.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098563807164812549&source=h5_m,7192641,2746,1170,834,687214,7084093869918259994,7084093869918259994,24,7084093869918259994,sorry I didnt order a glass of your opinion (Contains music from: Leave the Sin - Legacy Hits),"Contains music from: ""Leave the Sin""",6.974388978925733e+18,Jann 🦋 (Taylor's Version),False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7084093867129506586.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9ea7038c03a820eb1bbd979e803b5dee.json,False,False,Legacy Hits,Leave the Sin,sorry I didnt order a glass of your opinion (Contains music from: Leave the Sin - Legacy Hits),"Contains music from: ""Leave the Sin""",[],0,0,Ireland,#weightloss #lipedema #women,0,0,0,0,0,0,0,0,0,0
5,IE,7091736104986004742,1651173484,#stitch with @whizzlekikks,6839238459292861445,Mark mcgrath,"CEO of  YOHOOOO
Co Donegal 🇮🇪 ☘/Instagram68binman",0,False,https://m.tiktok.com/v/7091736104986004742.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091736104986004742&source=h5_m,461409,2745,1599,4181,53762,7091736095117789957,7091736095117789957,72,7091736095117789957,original sound - 68binman,Mark mcgrath,6.839238459292861e+18,Mark mcgrath,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091736088049470214.mp3,,False,False,,,,,[],0,0,Ireland,#stitch,0,0,0,0,0,0,0,0,1,0
6,CA,7103418800158018822,1653893579,😶BREAKING NEWS: The Mona Lisa (Wait for it..) #news #update #knowledge #france #monalisa #tiktokhunter #mtl #khieu 🥷,6737398150656721925,Michael Khieu,"The Arbiter Of Truth
IG: @king_khieu
👇New Video Is Now Up👇",0,False,https://m.tiktok.com/v/7103418800158018822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103418800158018822&source=h5_m,2027827,1949,951,1147,178380,7103418768025504518,7103418768025504518,72,7103418768025504518,original sound - kingkhieu,Michael Khieu,6.737398150656722e+18,Michael Khieu,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103418761943763718.mp3,,False,False,,,,,[],0,0,Ireland,#news #update #knowledge #france #monalisa #tiktokhunter #mtl #khieu,0,0,0,0,0,0,0,0,0,0
7,GB,7102918233849629957,1653777026,In a sky full of stars 🎶🎶#performance #music #fyp,7094513059930145798,Music.avenue,,0,False,https://m.tiktok.com/v/7102918233849629957.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102918233849629957&source=h5_m,693187,231,569,3152,92705,7036354390743190278,7036354390743190278,72,7036354390743190278,a sky full of stars (Contains music from: A Sky Full Of Stars - Coldplay),"Contains music from: ""A Sky Full Of Stars""",6.893861532041577e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7036354253753010950.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/01e50b18dcbb00cf56d8a5b1cc75062e.json,False,False,Coldplay,A Sky Full Of Stars,a sky full of stars (Contains music from: A Sky Full Of Stars - Coldplay),"Contains music from: ""A Sky Full Of Stars""",[],0,0,Ireland,#performance #music #fyp,0,0,0,1,0,0,0,0,0,0
0,IE,7097699390902635781,1652561919,Oh the Questions 😄😁🥰 #foryoupage #kidsoftiktok #son #MomsofTikTok #motherandson #question #irish #smile,6822382847107040261,Donna Jacobs Mammy ☘️,"🇮🇪☘️ My funny little old soul ☘️🇮🇪
Follow us on Instagram 📷 jacobs_mammy",0,False,https://m.tiktok.com/v/7097699390902635781.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097699390902635781&source=h5_m,3521602,1633,2597,2409,345651,7097699380639042310,7097699380639042310,72,7097699380639042310,original sound - keepupwithjacob,Donna Jacobs Mammy ☘️,6.82238284710704e+18,Donna Jacobs Mammy ☘️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097699383965190917.mp3,,False,False,,,,,[],0,0,Ireland,#foryoupage #kidsoftiktok #son #MomsofTikTok #motherandson #question #irish #smile,0,1,0,0,0,0,1,0,0,0
1,IE,7079317383797673221,1648282025,Don’t forget that spf #fyp #foryou #irishcreator,7034976521190409222,Vanessa,Follow Irish_nessa 😃,0,False,https://m.tiktok.com/v/7079317383797673221.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079317383797673221&source=h5_m,340207,91,104,347,17414,6798918768794831621,6798918768794831621,72,6798918768794831621,Felix Abdons audio ho3,felix,829206.0,felix,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1659887180009494.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/71b28ba15c87cb65681aa624c1757202.json,False,False,,,,,[],0,0,Ireland,#fyp #foryou #irishcreator,1,0,0,1,0,0,0,0,0,0
2,GB,7100848606923525381,1653295156,it just ✨makes sense✨  #sectioned #section2 #grippysocks #bipolar #psychwardroom,6904897032517092357,k 🍰,this pink b!tch was called k,0,False,https://m.tiktok.com/v/7100848606923525381.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100848606923525381&source=h5_m,4734891,972,1506,32,443662,6854508520591624966,6854508520591624966,72,6854508520591624966,original sound - .shannonrose,SHANNON ROSE,6.785130868295452e+18,SHANNON ROSE,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6987154354180573957.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c3a0bf97bc6f1d4a8b47c19e95228924.json,False,False,,,,,[],0,0,Ireland,#sectioned #section2 #grippysocks #bipolar #psychwardroom,0,0,0,0,0,0,0,0,0,0
3,GB,7103213153248447749,1653845692,"Lads, are you a fan? #fyp #foryoupage #gkbarry #comedy #podcast #kali",7059430494053024774,Saving Grace,A truly outrageous podcast hosted by @GKBarry,0,False,https://m.tiktok.com/v/7103213153248447749.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103213153248447749&source=h5_m,7052223,5586,20995,13415,465212,7103213138765548293,7103213138765548293,72,7103213138765548293,original sound - savinggracepod,Saving Grace,7.059430494053025e+18,Saving Grace,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103213173410450181.mp3,,False,False,,,,,[],0,0,Ireland,#fyp #foryoupage #gkbarry #comedy #podcast #kali,0,1,0,1,0,0,0,0,0,0
4,GB,7102027931165232389,1653569737, ,6622270626553937921,Katiecampbell2002,If I’m on ur fyp lemme know 🤪,0,False,https://m.tiktok.com/v/7102027931165232389.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102027931165232389&source=h5_m,227250,349,122,0,21489,7102027910168496901,7102027910168496901,72,7102027910168496901,original sound - katiecampbell2002,Katiecampbell2002,6.622270626553938e+18,Katiecampbell2002,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102027915285531397.mp3,,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
5,US,7098392454361058606,1652723286,#galway #ireland #europe #travel #edsheeran #galwaygirl #trees #backpacking #hostels #budget #tips,6724132907113563141,Celine,✨ semi professional storyteller & adventure enthusiast   ✨ 🌈,0,False,https://m.tiktok.com/v/7098392454361058606.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098392454361058606&source=h5_m,486207,3017,564,361,31342,7098392390083349291,7098392390083349291,72,7098392390083349291,original sound - yourgirrlceline,Celine,6.724132907113563e+18,Celine,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098392443912997678.mp3,,False,False,,,,,[],0,0,Ireland,#galway #ireland #europe #travel #edsheeran #galwaygirl #trees #backpacking #hostels #budget #tips,0,0,0,0,0,1,0,0,0,0
6,IE,7098373913033329926,1652718969, ,6915383622607946757,LLcoolJay,"here for a good time not a long time
🇮🇪",0,False,https://m.tiktok.com/v/7098373913033329926.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098373913033329926&source=h5_m,204081,295,564,0,20657,7098373935221197573,7098373935221197573,72,7098373935221197573,original sound - only_live_once_live_it_,LLcoolJay,6.915383622607947e+18,LLcoolJay,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098373929077295877.mp3,,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
7,CA,7101441774698106117,1653433261,Reply to @annarivard original audio for my gorls who like to party @alyssam1300 @kkennedy_8,6740385079389340677,rilatable,it’s like relatable but my names riley… get it?,0,False,https://m.tiktok.com/v/7101441774698106117.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101441774698106117&source=h5_m,11815070,8727,59591,17549,2247706,7101441748598360837,7101441748598360837,72,7101441748598360837,original sound - _rilatable,rilatable,6.740385079389341e+18,rilatable,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101441757191817990.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/18fb129adcf686876bf9a134ab6853f4.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
0,IE,7100590339328724229,1653235021,WD-40 #county #mayo @irishboi24 @︎  big man Rylan,6772844044017976326,JonahGill,"Ireland 
🇮🇪🇮🇪",0,False,https://m.tiktok.com/v/7100590339328724229.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100590339328724229&source=h5_m,382726,16,21,0,20222,7084942310504450822,7084942310504450822,72,7084942310504450822,original sound - pintofplane,CaptainBusyBollocks,6.742204387214919e+18,CaptainBusyBollocks,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084942335846533893.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1016f229d6de90a3dc608c1a79ca2d6.json,False,False,,,,,[],0,0,Ireland,#county #mayo,0,0,0,0,0,0,0,0,0,0
1,IE,7102792064223481093,1653747650,Knacker and she proud  @nodriscoll16x,237014747265585152,Katelynn Ann O Driscoll,Nicole changed the name 😂,0,False,https://m.tiktok.com/v/7102792064223481093.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102792064223481093&source=h5_m,691221,1274,245,1,56466,7087696712273709829,7087696712273709829,72,7087696712273709829,original sound - bernadettestokes16,Bernadette Stokes 👸🏽💜,6.615158761655796e+18,Bernadette Stokes 👸🏽💜,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087696728127752965.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9ffabbeda2842265855c939a49c37ec5.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
2,AU,7078906995180309761,1648186474,Aaron Chen #sets,7078160451100361730,Stand Up Sets,🔥Red Hot Sets🔥,2,False,https://m.tiktok.com/v/7078906995180309761.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078906995180309761&source=h5_m,11526168,3825,22815,21394,1681468,7078907065133058818,7078907065133058818,72,7078907065133058818,original sound - stand_up_sets,Stand Up Sets,7.078160451100362e+18,Stand Up Sets,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7078907057679764226.mp3,,False,False,,,,,[],0,0,Ireland,#sets,0,0,0,0,0,0,0,0,0,0
3,IE,7100282968911973638,1653163456,😂😂😂,6845763255970595845,Emafarrellie,Nice,0,False,https://m.tiktok.com/v/7100282968911973638.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100282968911973638&source=h5_m,201724,366,215,0,29779,7100285815318252294,7100285815318252294,72,7100285815318252294,original sound - wh0isthis11,Emafarrellie,6.845763255970596e+18,Emafarrellie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100285817448336134.mp3,,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
4,DE,7102866658200489221,1653765018,#Memes #funnyvideos #foryou,6978587718997918726,Meme Fanpage,"Fanpage 
not my memes
📧thefunmaster3000@outlook.de
Mail -> Credits/Removal",0,False,https://m.tiktok.com/v/7102866658200489221.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102866658200489221&source=h5_m,2504698,1100,2617,49,321860,7102866652760787718,7102866652760787718,72,7102866652760787718,original sound - thefunmaster3000,Meme Fanpage,6.978587718997919e+18,Meme Fanpage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102866663569771270.mp3,,False,False,,,,,[],0,0,Ireland,#Memes #funnyvideos #foryou,1,0,0,0,0,0,0,0,0,0
5,IE,7100559500301700357,1653227841,It’s all jokes hehe #ireland #irish #irishtiktok #irishhumour,6971746349621511174,notstinginator,FOLLOW FOR DAILY VIDEOS 🎉,0,False,https://m.tiktok.com/v/7100559500301700357.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100559500301700357&source=h5_m,390655,380,531,578,21316,6733270588854520581,6733270588854520581,72,6733270588854520581,scorpion (Contains music from: Wineing Freestyle - Hypa 4000),"Contains music from: ""Wineing Freestyle""",3.095773675873116e+17,S C O R P I O N,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1643866925378598.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/283d472a46b711468b7673864ca7bcc9.json,False,False,Hypa 4000,Wineing Freestyle,scorpion (Contains music from: Wineing Freestyle - Hypa 4000),"Contains music from: ""Wineing Freestyle""",[],0,0,Ireland,#ireland #irish #irishtiktok #irishhumour,0,0,0,0,0,1,1,0,0,0
