,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_amberheard,hash_australia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_johnnydepp,hash_trending,hash_viral
2,AU,7094491339236183298,1651814987,Drop the 🎤😅 #mymoneydontjigglejiggle,6638018418350112773,Lisa - Body Positivity,"You are perfect🤗
ibtc- ilysm
swinbankslisa@gmail.com
Support/See more ⬇️",0,False,https://www.tiktok.com/@lisa_banks_/video/7094491339236183298?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094491339236183298&source=h5_m,8084840,7866,14057,11116,667163,7094491333955504897,7094491333955504897,72,7094491333955504897,original sound - lisa_banks_,Lisa - Body Positivity,6.638018418350113e+18,Lisa - Body Positivity,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094491327370414850.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc80da6bc79e017c70ae267c4d45c2d5.json,False,False,,,,,[],0,0,Australia,#mymoneydontjigglejiggle,0,0,0,0,0,0,0,0,0,0
3,AU,7096975832803036418,1652393453,I don’t think she gets it 💀  #OscarsAtHome #foryoupage #xybca #oldlady #unlockmylikes #karen #blowthisup #fyp #babynames,6774909927070499846,leanne🖤,"Grumpy Comedian 
My son’s acc - @maitlandrd",0,False,https://www.tiktok.com/@grumpy_leanne/video/7096975832803036418?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096975832803036418&source=h5_m,25415895,38572,75283,135975,4148852,7096975809261030145,7096975809261030145,72,7096975809261030145,original sound - grumpy_leanne,leanne🖤,6.7749099270705e+18,leanne🖤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096975778395360002.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/211f8d4180cea8a8e771a4b90f5b353b.json,False,False,,,,,[],0,0,Australia,#OscarsAtHome #foryoupage #xybca #oldlady #unlockmylikes #karen #blowthisup #fyp #babynames,0,0,0,1,0,1,0,0,0,0
4,US,7096952382197746950,1652387993,What does that even mean? 😭🌈✨ #slime #satisfying #mixing #slimestory #storytime #question #slimestorytime #satisfy,6768072234339845126,slimeglitterz,"🌈SLIME RESTOCK JUNE 11th 6PM GMT🌈
✨Brand Colabs: info@slimeglitterz.com",0,False,https://www.tiktok.com/@slimeglitterz/video/7096952382197746950?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096952382197746950&source=h5_m,2957075,613,93,5,257529,6746993352891189249,6746993352891189249,10033,6746993352891189249,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ea8ca7768b2142be9cafe3284d9b97fa,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bd04654513374431956fb38fa9f8db1b,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1581990211', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#slime #satisfying #mixing #slimestory #storytime #question #slimestorytime #satisfy,0,0,0,0,0,0,0,0,0,0
5,LB,7096534849359482113,1652290777,Did you know ?🤔 #iSTYLE #apple #iPhonehacks #iPhonetricks,6980196657259299841,iSTYLE Beirut,"Lebanon's first Apple Premium Reseller
📍iSTYLE BCC Hazmieh
📍iSTYLE Holcom Bldg",0,False,https://www.tiktok.com/@istylebeirut/video/7096534849359482113?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096534849359482113&source=h5_m,35663118,21432,104093,52479,1874758,7079506145240550187,7079506145240550187,72,7079506145240550187,original sound - reuelwilliams_ (Contains music from: I will be one of the greatest - DramaJake),"Contains music from: ""I will be one of the greatest""",6.920797659347977e+18,Reuel Williams,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079506176916048686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/77d28b688757420b484ebdcd6bbc4a27.json,False,False,DramaJake,I will be one of the greatest,original sound - reuelwilliams_ (Contains music from: I will be one of the greatest - DramaJake),"Contains music from: ""I will be one of the greatest""",[],0,0,Australia,#iSTYLE #apple #iPhonehacks #iPhonetricks,0,0,0,0,0,0,0,0,0,0
6,GB,7102688988212907270,1653723656,#fyp #movie,7022635518195024902,mcdougallbellael,,0,False,https://www.tiktok.com/@mcdougallbellael/video/7102688988212907270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102688988212907270&source=h5_m,3699401,125,116,372,324626,6817450080614746114,6817450080614746114,10036,6817450080614746114,Happy Up Beat (Medium),TimTaj,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/53dd7e5d406641619086a9a0deff927c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/96aa323b13c44dd0ba3ba945e93d37f6,False,True,,,,,[],0,0,Australia,#fyp #movie,0,0,0,0,0,1,0,0,0,0
7,AU,7103324088294296834,1653871524,"so many jellyfish but underwater with them it’s so peaceful, until you get stung..",6798324500859569158,Brodie Moss,Youtuber / Creator at YBS Youngbloods,0,False,https://www.tiktok.com/@ybsbrodie/video/7103324088294296834?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103324088294296834&source=h5_m,152740,140,105,27,18822,7103324034540063490,7103324034540063490,72,7103324034540063490,original sound - ybsbrodie,Brodie Moss,6.798324500859569e+18,Brodie Moss,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103323908564126466.mp3,,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
0,US,7100938039446506798,1653315976, ,7097976313637766186,dr.samiyyahh,"Share Weight Loss Tips
👇👇👇",0,False,https://www.tiktok.com/@dr.samiyyahh/video/7100938039446506798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100938039446506798&source=h5_m,67790,22,40,110,1700,7070105828002401030,7070105828002401030,72,7070105828002401030,original sound - weemadshazy13 (Contains music from: Unstoppable Next - Sunashi Rom),"Contains music from: ""Unstoppable Next""",6.787058272253232e+18,Wee Mad Shazy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070105826198817541.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8f8152c07c14fd6a8dd8eed8941a436e.json,False,False,Sunashi Rom,Unstoppable Next,original sound - weemadshazy13 (Contains music from: Unstoppable Next - Sunashi Rom),"Contains music from: ""Unstoppable Next""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
1,AU,7099586489281039617,1653001295,Brb trying to find a short green skirt @Dua Lipa #nathanlust,6627750917427544070,Nathan Lust,"Australia, Queensland📍 

Email: david@emberartists.com",0,False,https://www.tiktok.com/@nathanlust/video/7099586489281039617?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099586489281039617&source=h5_m,1113114,217,209,463,154147,7081309149551676203,7081309149551676203,72,7081309149551676203,original sound - addywallace_ (Contains music from: One Kiss - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss""",6.725231966700946e+18,Addisyn Wallace,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081309181378054954.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5e460e513f9fc8f797b8665fa8cf843f.json,False,False,Calvin Harris & Dua Lipa,One Kiss,original sound - addywallace_ (Contains music from: One Kiss - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss""",[],0,0,Australia,#nathanlust,0,0,0,0,0,0,0,0,0,0
2,US,7099590351018560814,1653002192,My students love correcting my mistakes :) #qu #kindegarten #fyp #teachersoftiktok #teachertok #spelling #teachersbelike #elementaryschool #quwedding #qanduwedding #nototheno,7091029651125044267,Lights.Camera.Teach,"Kindergarten🤓
The classroom is my stage💃🏻
Nicole.matthews1798@gmail.com",0,False,https://www.tiktok.com/@lights.camera.teach/video/7099590351018560814?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099590351018560814&source=h5_m,8545824,8687,4802,2353,855772,7099590335424301870,7099590335424301870,72,7099590335424301870,original sound - lights.camera.teach,Lights.Camera.Teach,7.091029651125044e+18,Lights.Camera.Teach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099590354667588394.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/04f910f14a9d1f6e4f8f8655d54f546e.json,False,False,,,,,[],0,0,Australia,#qu #kindegarten #fyp #teachersoftiktok #teachertok #spelling #teachersbelike #elementaryschool #quwedding #qanduwedding #nototheno,0,0,0,0,0,1,0,0,0,0
3,AU,7094383324327726338,1651789838,"If You Want $1000, You Keep $1000 #fyp #foryou #foryoupage #challenge #viral #comedy",6812438607556215814,Aaron,"Folllow me on twitch for good luck ⬇️⬇️
📧 aaroncasabus@gmail.com",0,False,https://www.tiktok.com/@aaroncasa69/video/7094383324327726338?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094383324327726338&source=h5_m,6601509,3237,405,911,841634,6704984461198493698,6704984461198493698,10033,6704984461198493698,Feel It Still,Portugal. The Man,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ad1012bdb8164d5ba644de4cb23655d0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e85750c28e90432eb5c0a2c14ab5b601,True,True,,,,,[],0,0,Australia,#fyp #foryou #foryoupage #challenge #viral #comedy,0,0,1,1,0,1,0,0,0,1
4,AU,7085575548730215681,1649739119,Pt.2?,7007994554645431298,Notgeorgia,"Insta-Georgia.awood
🇧🇷🇦🇺",0,False,https://www.tiktok.com/@user2847738295/video/7085575548730215681?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085575548730215681&source=h5_m,19669605,4459,3544,3838,3265330,7031357708913707781,7031357708913707781,72,7031357708913707781,use this if youre gay (Contains music from: No Ammends - Drako Santino),"Contains music from: ""No Ammends""",6.597126785774191e+18,alex ᥫ᭡,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7031363534844267269.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/39e07a7a42c64fd5c7d6ccb461885bde.json,False,False,Drako Santino,No Ammends,use this if youre gay (Contains music from: No Ammends - Drako Santino),"Contains music from: ""No Ammends""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
5,AU,7098811142595693825,1652820770,I got the girls with big girls 🤍,6725975157963752454,Casee Brim,"hot, hilarious, humble ♉︎
here to help you dress & love yourself 🫶🏼",0,False,https://www.tiktok.com/@caseebrim/video/7098811142595693825?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098811142595693825&source=h5_m,3232452,360,220,418,274738,7058463948324767746,7058463948324767746,10033,7058463948324767746,Rocking A Cardigan in Atlanta,lil Shordie Scott,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d9da0664319d4b24961dedcf2cdbbaf2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8e2785ecb63e4b39b086c3427be6cfae,False,True,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
6,AU,7089969015983983914,1650762050,#duet with @love_fruitss,252969467192975360,Cody Simpson,"Australian Swimmer & Musician
New self-titled studio album out now",0,False,https://www.tiktok.com/@codysimpson/video/7089969015983983914?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089969015983983914&source=h5_m,1433682,330,210,236,72275,7086661970245503786,7086661970245503786,72,7086661970245503786,original sound - love_fruitss,Fruits Love🍉🍒🥝🥥,7.081561698184316e+18,Fruits Love🍉🍒🥝🥥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086662005301611310.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ac94f4f5bef7c598065acfcdf011bc43.json,False,False,,,,,[],0,0,Australia,#duet,0,0,0,0,0,0,0,0,0,0
7,AU,7092526729960459521,1651357565,Getting windscreen wipers installed and this crazy shoplifter walks out 🙈#baby #shoplifter #crazy,6774909289565619206,Liz Hudson,,0,False,https://www.tiktok.com/@lizhudson01/video/7092526729960459521?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092526729960459521&source=h5_m,7407640,9732,26037,12846,324909,7092526714681608962,7092526714681608962,72,7092526714681608962,original sound - lizhudson01,Liz Hudson,6.774909289565619e+18,Liz Hudson,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092526722121304834.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/927048952bafd6dad3f6bf8e39d60bf3.json,False,False,,,,,[],0,0,Australia,#baby #shoplifter #crazy,0,0,0,0,0,0,0,0,0,0
0,AU,7103129818451037441,1653826289,The dogs were howling for a wash 🧼 #fyp #foryoupage #foryou #xyzbca #thedogs,7004340303150826501,Fanta pantz,Get me to the top of the sound and you'll get a surprise 😉,0,False,https://www.tiktok.com/@fanta_pantzz/video/7103129818451037441?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103129818451037441&source=h5_m,1322888,2451,2618,3813,123157,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Australia,#fyp #foryoupage #foryou #xyzbca #thedogs,0,0,1,1,0,1,0,0,0,0
1,US,7101058927319895342,1653344121,A ♾ J ❤️‍🔥,6615412531505397766,Ayden Mekus,"Ayden 💙
Actor, Influencer, YouTuber",0,False,https://www.tiktok.com/@aydenmekus/video/7101058927319895342?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101058927319895342&source=h5_m,3593412,8233,1300,1801,393059,7076819615875173121,7076819615875173121,24,7076819615875173121,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",7.039728171708761e+18,♬,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7076819594492545793.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cb532bf3d2e69ce0ffb54c5f19ca87bd.json,False,False,Leiner,Time,Somebody That I Used to Know (Remix) (Contains music from: Time - Leiner),"Contains music from: ""Time""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
2,GB,7101067342188268806,1653346082,#johnnydepp #foryoupageviralシ゚ #xyzcba #fypシ゚viral #blowthisup #foryou #4upage #johnnydeppisinnocent,6977456740384850950,The.secret.ginger,ASMR/FUNNY VIDEOS  🧼,0,False,https://www.tiktok.com/@the.secret.ginger/video/7101067342188268806?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101067342188268806&source=h5_m,2145759,1137,1883,1604,370616,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#johnnydepp #foryoupageviralシ゚ #xyzcba #fypシ゚viral #blowthisup #foryou #4upage #johnnydeppisinnocent,0,0,1,0,0,0,1,1,0,1
